ExecutionTime
4/1/2023 8:32:32 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201606,"131,00","526,00","24,90"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201612,"112,00","543,00","20,63"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201706,"152,00","564,00","26,95"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201712,"162,00","551,00","29,40"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201806,"114,00","504,00","22,62"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201812,"137,00","547,00","25,05"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201906,"103,00","494,00","20,85"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,201912,"146,00","480,00","30,42"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202006,"137,00","414,00","33,09"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202012,"134,00","430,00","31,16"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202106,"125,00","409,00","30,56"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202112,"107,00","509,00","21,02"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202206,"126,00","469,00","26,87"
Proporción de partos por cesárea,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,202212,"143,00","384,00","37,24"

