ExecutionTime
4/1/2023 8:40:06 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20170630,"913,00","1.023,00","89,25"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20171231,"1.024,00","1.101,00","93,01"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20180630,"814,00","961,00","84,70"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20181231,"809,00","873,00","92,67"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20190630,"1.304,00","1.748,00","74,60"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20191231,"617,00","636,00","97,01"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20200331,"167,00","173,00","96,53"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20200630,"338,00","418,00","80,86"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20200930,"398,00","462,00","86,15"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20201231,"498,00","508,00","98,03"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20210331,"397,00","414,00","95,89"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20210630,"282,00","290,00","97,24"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20210930,"562,00","593,00","94,77"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20211231,"757,00","790,00","95,82"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20220331,"1.123,00","1.123,00","100,00"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20220630,"1.402,00","1.467,00","95,57"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20220930,"1.794,00","1.934,00","92,76"
Proporción de Satisfacción Global de los usuarios en la IPS,91,91 - Amazonas,00000,TOTAL,Total,100,Porcentaje,20221231,"1.418,00","1.487,00","95,36"

