ExecutionTime
4/1/2023 8:41:53 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20170630,"6.874,00","742,00","9,26"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20171231,"71,00","48,00","1,48"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20180630,"2.257,00","289,00","7,81"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20181231,"1.759,00","400,00","4,40"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20190630,"3.601,00","615,00","5,86"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20191231,"1.459,00","430,00","3,39"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20200630,"2.337,00","272,00","8,59"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20200930,"44,00","52,00","0,85"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20201231,"178,00","163,00","1,09"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20210331,"312,00","138,00","2,26"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20210930,"1.842,00","260,00","7,08"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20211231,"1.036,00","245,00","4,23"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220331,"875,00","296,00","2,96"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220630,"3.903,00","775,00","5,04"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220930,"3.230,00","462,00","6,99"
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20221231,"2.413,00","466,00","5,18"

