ExecutionTime
4/1/2023 8:42:19 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20170630,"3.229,00","504,00","6,41"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20171231,"789,00","275,00","2,87"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20180630,"3.114,00","578,00","5,39"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20181231,"3.825,00","519,00","7,37"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20190630,"7.178,00","682,00","10,52"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20191231,"4.839,00","464,00","10,43"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20200331,"3,00","1,00","3,00"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20200630,"3.683,00","323,00","11,40"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20200930,"91,00","57,00","1,60"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20201231,"1.055,00","214,00","4,93"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20210331,"712,00","228,00","3,12"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20211231,"1.547,00","264,00","5,86"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220331,"1.546,00","366,00","4,22"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220630,"3.495,00","617,00","5,66"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20220930,"5.016,00","492,00","10,20"
Tiempo promedio de espera para la asignación de cita de  Ginecología,91,91 - Amazonas,00000,TOTAL,Total,1,Días,20221231,"6.519,00","421,00","15,48"

