ExecutionTime
4/1/2023 8:46:51 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201706,"0,00","15.119,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201712,"0,00","10.583,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201806,"0,00","8.626,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201812,"0,00","11.293,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201906,"0,00","23.842,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,201912,"3,00","22.787,00","0,13"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202003,"0,00","12.072,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202006,"0,00","7.179,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202009,"0,00","6.873,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202012,"0,00","7.098,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202103,"0,00","2.491,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202106,"1,00","7.025,00","0,14"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202109,"0,00","12.078,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202112,"0,00","7.847,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202203,"0,00","3.118,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202206,"0,00","11.355,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202209,"0,00","10.026,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,91,Amazonas,00000,TOTAL,Total,N/A,1000,Tasa,202212,"0,00","14.533,00","0,00"

