ExecutionTime
4/1/2023 8:58:41 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201606,"20.732,00","30.631,00","67,68"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201612,"20.378,00","30.427,00","66,97"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201706,"22.867,00","32.997,00","69,30"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201712,"26.137,00","34.630,00","75,48"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201806,"27.032,00","32.985,00","81,95"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201812,"28.901,00","35.488,00","81,44"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201906,"28.569,00","25.973,00","109,99"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,201912,"25.828,00","25.747,00","100,31"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,202006,"20.789,00","23.547,00","88,29"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,202012,"27.299,00","32.787,00","83,26"

