ExecutionTime
4/1/2023 9:08:13 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20170630,"4.190.242,00","492.462,00","8,51"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20171231,"2.263.421,00","330.667,00","6,85"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20180630,"2.806.674,00","348.612,00","8,05"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20181231,"3.618.502,00","438.236,00","8,26"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20190630,"4.751.637,00","427.574,00","11,11"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20191231,"4.527.021,00","443.650,00","10,20"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20200331,"1.184.170,00","143.640,00","8,24"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20200630,"1.008.030,00","175.462,00","5,75"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20200930,"936.728,00","197.791,00","4,74"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20201231,"1.469.858,00","204.831,00","7,18"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20210331,"2.170.557,00","238.337,00","9,11"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20210630,"2.128.804,00","226.528,00","9,40"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20210930,"2.574.719,00","260.879,00","9,87"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20211231,"2.236.785,00","217.410,00","10,29"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20220331,"3.259.606,00","283.453,00","11,50"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20220630,"3.571.595,00","273.539,00","13,06"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20220930,"3.851.871,00","304.323,00","12,66"
Tiempo promedio de espera para la toma de Ecografía,05,05 - Antioquia,00000,TOTAL,Total,1,Días,20221231,"2.734.084,00","281.971,00","9,70"

