ExecutionTime
4/1/2023 9:05:45 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20170630,"513.856,00","536.566,00","95,77"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20171231,"603.681,00","628.021,00","96,12"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20180630,"570.778,00","596.248,00","95,73"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20181231,"758.603,00","791.050,00","95,90"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20190630,"627.107,00","678.170,00","92,47"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20191231,"626.013,00","653.358,00","95,81"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20200331,"239.432,00","256.310,00","93,42"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20200630,"244.060,00","252.781,00","96,55"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20200930,"309.505,00","319.575,00","96,85"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20201231,"358.150,00","368.960,00","97,07"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20210331,"282.964,00","295.588,00","95,73"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20210630,"297.746,00","312.039,00","95,42"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20210930,"264.463,00","276.682,00","95,58"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20211231,"324.640,00","342.899,00","94,68"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20220331,"302.417,00","315.101,00","95,97"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20220630,"402.240,00","424.621,00","94,73"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20220930,"339.453,00","357.098,00","95,06"
Proporción de Satisfacción Global de los usuarios en la IPS,05,05 - Antioquia,00000,TOTAL,Total,100,Porcentaje,20221231,"345.470,00","377.452,00","91,53"

