ExecutionTime
4/1/2023 9:45:59 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20170630,"1.198,00","117.763,00","1,02"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20171231,"3.484,00","131.624,00","2,65"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20180630,"4.848,00","146.604,00","3,31"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20181231,"4.060,00","164.340,00","2,47"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20190630,"4.348,00","178.152,00","2,44"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20191231,"2.422,00","176.413,00","1,37"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20200331,"1.288,00","78.673,00","1,64"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20200630,"1.535,00","53.236,00","2,88"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20200930,"1.095,00","67.574,00","1,62"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20201231,"1.266,00","73.279,00","1,73"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20210331,"1.754,00","78.409,00","2,24"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20210630,"2.355,00","77.552,00","3,04"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20210930,"1.575,00","106.830,00","1,47"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20211231,"1.735,00","116.349,00","1,49"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20220331,"1.600,00","111.831,00","1,43"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20220630,"2.481,00","124.951,00","1,99"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20220930,"2.524,00","134.075,00","1,88"
Proporción de cancelación de cirugía,05,05 - Antioquia,00000,TOTAL,Total,N/A,100,Porcentaje,20221231,"2.126,00","134.401,00","1,58"

