ExecutionTime
4/1/2023 10:00:56 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201606,"661,00","1.379,00","47,93"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201612,"670,00","1.429,00","46,89"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201706,"929,00","1.897,00","48,97"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201712,"1.297,00","1.993,00","65,08"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201806,"1.496,00","1.851,00","80,82"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201812,"1.571,00","1.975,00","79,54"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201906,"1.458,00","1.698,00","85,87"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,201912,"1.562,00","1.740,00","89,77"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,202006,"1.232,00","1.417,00","86,94"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,202012,"1.620,00","1.784,00","90,81"

