ExecutionTime
4/1/2023 10:09:09 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20170630,"14.344,00","15.458,00","92,79"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20171231,"11.841,00","13.997,00","84,60"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20180630,"14.452,00","16.368,00","88,29"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20181231,"13.400,00","14.532,00","92,21"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20190630,"20.008,00","21.103,00","94,81"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20191231,"17.099,00","18.687,00","91,50"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20200331,"9.484,00","10.351,00","91,62"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20200630,"7.416,00","7.860,00","94,35"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20200930,"7.641,00","7.934,00","96,31"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20201231,"8.145,00","8.563,00","95,12"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20210331,"6.522,00","6.833,00","95,45"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20210630,"9.835,00","10.444,00","94,17"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20210930,"8.087,00","8.549,00","94,60"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20211231,"8.454,00","8.926,00","94,71"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20220331,"7.168,00","7.647,00","93,74"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20220630,"9.992,00","10.478,00","95,36"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20220930,"9.727,00","10.845,00","89,69"
Proporción de Satisfacción Global de los usuarios en la IPS,81,81 - Arauca,00000,TOTAL,Total,100,Porcentaje,20221231,"9.208,00","9.666,00","95,26"

