ExecutionTime
4/1/2023 10:15:51 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201706,"14,00","4.117,00","3,40"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201712,"14,00","6.457,00","2,17"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201806,"16,00","11.344,00","1,41"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201812,"38,00","22.593,00","1,68"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201906,"21,00","19.729,00","1,06"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,201912,"11,00","19.746,00","0,56"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202003,"14,00","7.139,00","1,96"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202006,"10,00","14.310,00","0,70"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202009,"6,00","3.247,00","1,85"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202012,"12,00","9.554,00","1,26"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202103,"5,00","1.853,00","2,70"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202106,"7,00","5.759,00","1,22"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202109,"7,00","4.624,00","1,51"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202112,"13,00","2.677,00","4,86"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202203,"6,00","1.698,00","3,53"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202206,"10,00","9.819,00","1,02"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202209,"14,00","16.806,00","0,83"
Tasa de caída de pacientes en el servicio de hospitalización,81,Arauca,00000,TOTAL,Total,N/A,1000,Tasa,202212,"6,00","9.827,00","0,61"

