ExecutionTime
4/1/2023 10:25:06 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201606,"6.556,00","10.945,00","59,90"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201612,"7.151,00","11.200,00","63,85"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201706,"6.937,00","11.326,00","61,25"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201712,"7.761,00","13.210,00","58,75"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201806,"7.952,00","12.439,00","63,93"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201812,"8.943,00","14.955,00","59,80"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201906,"8.650,00","13.869,00","62,37"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201912,"9.329,00","15.609,00","59,77"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,202006,"8.380,00","12.111,00","69,19"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,202012,"9.210,00","15.180,00","60,67"

