ExecutionTime
4/1/2023 10:26:31 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201606,"1,00","10.945,00","0,01"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201612,"0,00","11.200,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201706,"17,00","11.326,00","0,15"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201712,"2,00","13.210,00","0,02"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201806,"132,00","12.439,00","1,06"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201812,"79,00","14.955,00","0,53"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201906,"147,00","13.869,00","1,06"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,201912,"2,00","15.609,00","0,01"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,202006,"0,00","12.111,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,202012,"0,00","15.180,00","0,00"

