ExecutionTime
4/1/2023 10:36:54 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20170630,"468.942,00","478.931,00","97,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20171231,"410.183,00","417.314,00","98,29"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20180630,"415.480,00","421.302,00","98,62"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20181231,"457.008,00","464.999,00","98,28"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20190630,"1.518.337,00","1.524.346,00","99,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20191231,"563.189,00","570.519,00","98,72"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20200331,"139.432,00","142.019,00","98,18"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20200630,"202.766,00","205.097,00","98,86"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20200930,"158.307,00","160.632,00","98,55"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20201231,"225.436,00","229.261,00","98,33"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20210331,"235.440,00","238.200,00","98,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20210630,"227.222,00","230.230,00","98,69"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20210930,"304.502,00","307.715,00","98,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20211231,"353.345,00","363.997,00","97,07"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20220331,"339.020,00","344.503,00","98,41"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20220630,"344.396,00","348.193,00","98,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20220930,"330.968,00","333.703,00","99,18"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,08,08 - Atlántico,00000,TOTAL,Total,100,Porcentaje,20221231,"359.742,00","363.981,00","98,84"

