ExecutionTime
4/1/2023 10:34:21 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20170630,"462.134,00","176.679,00","2,62"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20171231,"436.208,00","128.828,00","3,39"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20180630,"699.674,00","177.083,00","3,95"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20181231,"789.158,00","211.037,00","3,74"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20190630,"652.940,00","213.580,00","3,06"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20191231,"808.270,00","262.615,00","3,08"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20200331,"765.181,00","227.959,00","3,36"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20200630,"21.290,00","63.491,00","0,34"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20200930,"27.926,00","76.454,00","0,37"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20201231,"250.278,00","131.119,00","1,91"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20210331,"504.953,00","174.808,00","2,89"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20210630,"242.100,00","129.706,00","1,87"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20210930,"694.064,00","192.694,00","3,60"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20211231,"562.904,00","196.066,00","2,87"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20220331,"581.421,00","205.298,00","2,83"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20220630,"884.216,00","230.406,00","3,84"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20220930,"703.932,00","223.430,00","3,15"
Tiempo promedio de espera para la asignación de cita de  Odontología General,08,08 - Atlántico,00000,TOTAL,Total,1,Días,20221231,"586.451,00","200.189,00","2,93"

