ExecutionTime
4/1/2023 10:40:40 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201706,"65,00","195.465,00","0,03"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201712,"68,00","195.786,00","0,03"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201806,"83,00","158.439,00","0,05"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201812,"61,00","182.890,00","0,03"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201906,"78,00","221.012,00","0,04"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),201912,"119,00","179.697,00","0,07"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202003,"38,00","86.170,00","0,04"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202006,"26,00","53.465,00","0,05"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202009,"34,00","43.092,00","0,08"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202012,"49,00","54.791,00","0,09"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202103,"51,00","49.433,00","0,10"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202106,"53,00","36.404,00","0,15"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202109,"81,00","66.093,00","0,12"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202112,"67,00","41.433,00","0,16"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202203,"72,00","11.888,00","0,61"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202206,"8.092,00","42.430,00","19,07"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202209,"53,00","53.072,00","0,10"
Proporción de eventos adversos relacionados con la administración de medicamentos en urgencias,08,Atlántico,00000,TOTAL,Total,N/A,100,Por 100 (%),202212,"68,00","35.041,00","0,19"

