ExecutionTime
4/5/2023 10:01:38 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201606,"522.077,00","1.157.560,00","45,10"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201612,"492.633,00","1.175.622,00","41,90"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201706,"606.922,00","1.244.147,00","48,78"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201712,"543.488,00","1.266.240,00","42,92"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201806,"742.554,00","1.343.906,00","55,25"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201812,"672.613,00","1.357.792,00","49,54"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201906,"948.545,00","1.292.156,00","73,41"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,201912,"889.049,00","1.309.679,00","67,88"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,202006,"790.421,00","1.313.814,00","60,16"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,202012,"813.963,00","1.308.018,00","62,23"

