ExecutionTime
4/7/2023 11:23:05 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20170630,"946.678,00","986.704,00","95,94"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20171231,"1.279.117,00","1.328.024,00","96,32"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20180630,"870.433,00","907.670,00","95,90"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20181231,"948.582,00","980.942,00","96,70"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20190630,"1.039.768,00","1.076.442,00","96,59"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20191231,"971.811,00","1.010.200,00","96,20"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20200331,"399.754,00","417.523,00","95,74"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20200630,"320.704,00","334.802,00","95,79"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20200930,"412.796,00","427.532,00","96,55"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20201231,"450.006,00","471.882,00","95,36"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20210331,"812.752,00","844.578,00","96,23"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20210630,"565.571,00","596.389,00","94,83"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20210930,"737.645,00","770.526,00","95,73"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20211231,"835.039,00","866.676,00","96,35"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20220331,"682.254,00","716.944,00","95,16"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20220630,"660.558,00","700.830,00","94,25"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20220930,"682.999,00","723.221,00","94,44"
Proporción de Satisfacción Global de los usuarios en la IPS,11,"11 - Bogotá, D.C.",00000,TOTAL,Total,100,Porcentaje,20221231,"645.159,00","689.351,00","93,59"

