ExecutionTime
4/1/2023 10:47:45 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201606,"4.857,00","11.731,00","41,40"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201612,"5.983,00","13.140,00","45,53"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201706,"6.481,00","8.957,00","72,36"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201712,"6.933,00","9.794,00","70,79"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201806,"6.395,00","12.770,00","50,08"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201812,"7.530,00","14.018,00","53,72"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201906,"7.363,00","13.193,00","55,81"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,201912,"8.698,00","14.367,00","60,54"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,202006,"7.171,00","11.587,00","61,89"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,202012,"7.895,00","14.127,00","55,89"

