ExecutionTime
4/1/2023 10:59:56 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20170630,"203.328,00","237.227,00","85,71"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20171231,"219.443,00","226.398,00","96,93"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20180630,"235.991,00","243.438,00","96,94"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20181231,"232.516,00","238.912,00","97,32"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20190630,"255.393,00","265.902,00","96,05"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20191231,"250.138,00","259.413,00","96,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20200331,"103.110,00","105.603,00","97,64"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20200630,"68.735,00","70.189,00","97,93"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20200930,"77.010,00","79.276,00","97,14"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20201231,"107.373,00","110.601,00","97,08"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20210331,"112.685,00","114.674,00","98,27"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20210630,"132.841,00","136.743,00","97,15"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20210930,"126.629,00","128.943,00","98,21"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20211231,"146.165,00","149.974,00","97,46"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20220331,"138.503,00","141.932,00","97,58"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20220630,"159.971,00","163.904,00","97,60"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20220930,"158.317,00","162.547,00","97,40"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,13,13 - Bolívar,00000,TOTAL,Total,100,Porcentaje,20221231,"159.198,00","165.497,00","96,19"

