ExecutionTime
4/1/2023 10:58:34 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20170630,"519.342,00","37.597,00","13,81"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20171231,"218.648,00","19.410,00","11,26"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20180630,"357.260,00","29.131,00","12,26"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20181231,"258.561,00","22.186,00","11,65"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20190630,"485.569,00","37.573,00","12,92"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20191231,"307.731,00","30.969,00","9,94"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20200331,"250.255,00","17.010,00","14,71"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20200630,"24.065,00","4.034,00","5,97"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20200930,"60.451,00","7.258,00","8,33"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20201231,"163.080,00","11.518,00","14,16"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20210331,"214.386,00","18.453,00","11,62"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20210630,"206.342,00","18.145,00","11,37"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20210930,"108.031,00","17.060,00","6,33"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20211231,"126.442,00","19.972,00","6,33"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20220331,"363.753,00","31.830,00","11,43"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20220630,"239.048,00","22.584,00","10,58"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20220930,"169.651,00","15.342,00","11,06"
Tiempo promedio de espera para la asignación de cita de  Ginecología,13,13 - Bolívar,00000,TOTAL,Total,1,Días,20221231,"173.693,00","17.346,00","10,01"

