ExecutionTime
4/1/2023 5:55:07 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201606,"1.910,00","6.180,00","30,91"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201612,"1.633,00","6.099,00","26,77"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201706,"1.719,00","5.433,00","31,64"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201712,"2.018,00","5.374,00","37,55"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201806,"2.866,00","6.237,00","45,95"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201812,"3.512,00","6.208,00","56,57"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201906,"3.868,00","5.729,00","67,52"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,201912,"3.771,00","5.623,00","67,06"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,202006,"3.565,00","5.168,00","68,98"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,202012,"4.400,00","5.590,00","78,71"

