ExecutionTime
4/1/2023 5:59:52 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20170630,"118.413,00","121.279,00","97,64"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20171231,"100.436,00","103.060,00","97,45"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20180630,"106.950,00","109.623,00","97,56"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20181231,"117.508,00","119.888,00","98,01"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20190630,"145.738,00","148.865,00","97,90"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20191231,"156.580,00","159.889,00","97,93"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20200331,"85.844,00","87.049,00","98,62"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20200630,"56.542,00","57.868,00","97,71"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20200930,"64.150,00","65.083,00","98,57"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20201231,"65.081,00","66.524,00","97,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20210331,"74.703,00","76.324,00","97,88"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20210630,"80.067,00","81.991,00","97,65"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20210930,"75.241,00","76.225,00","98,71"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20211231,"84.906,00","87.833,00","96,67"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20220331,"88.333,00","92.227,00","95,78"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20220630,"81.756,00","83.592,00","97,80"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20220930,"88.438,00","90.779,00","97,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,15,15 - Boyacá,00000,TOTAL,Total,100,Porcentaje,20221231,"90.646,00","92.725,00","97,76"

