ExecutionTime
4/1/2023 5:57:18 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20170630,"802,00","31,00","25,87"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20171231,"3.057,00","106,00","28,84"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20180630,"3.600,00","186,00","19,35"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20181231,"5.980,00","123,00","48,62"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20190630,"4.455,00","116,00","38,41"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20191231,"3.237,00","164,00","19,74"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20200331,"1.121,00","57,00","19,67"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20200630,"125,00","18,00","6,94"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20200930,"236,00","28,00","8,43"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20201231,"654,00","43,00","15,21"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20210331,"686,00","48,00","14,29"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20210630,"202,00","24,00","8,42"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20210930,"631,00","50,00","12,62"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20211231,"567,00","62,00","9,15"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20220331,"1.769,00","89,00","19,88"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20220630,"1.664,00","67,00","24,84"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20220930,"1.691,00","89,00","19,00"
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,15,15 - Boyacá,00000,TOTAL,Total,1,Días,20221231,"1.655,00","79,00","20,95"

