ExecutionTime
4/1/2023 6:04:09 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201706,"119,00","11.389,00","10,45"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201712,"198,00","17.638,00","11,23"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201806,"254,00","22.517,00","11,28"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201812,"277,00","23.553,00","11,76"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201906,"440,00","29.735,00","14,80"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,201912,"333,00","24.397,00","13,65"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202006,"323,00","23.733,00","13,61"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202012,"255,00","19.976,00","12,77"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202106,"259,00","21.194,00","12,22"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202112,"228,00","24.591,00","9,27"
Tasa de reingreso de pacientes hospitalizados en menos de 15 días,15,15 - Boyacá,00000,TOTAL,Total,N/A,1000,Por 1000  egresos,202206,"281,00","27.152,00","10,35"

