ExecutionTime
4/1/2023 11:04:58 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201606,"53,00","4.855,00","10,92"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201612,"46,00","4.987,00","9,22"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201706,"51,00","4.652,00","10,96"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201712,"60,00","4.764,00","12,59"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201806,"51,00","4.476,00","11,39"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201812,"34,00","4.351,00","7,81"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201906,"51,00","4.153,00","12,28"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201912,"48,00","4.228,00","11,35"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202006,"47,00","3.845,00","12,22"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202012,"44,00","4.031,00","10,92"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202106,"45,00","3.782,00","11,90"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202112,"42,00","4.012,00","10,47"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202206,"44,00","3.761,00","11,70"
Tasa de mortalidad perinatal,17,17 - Caldas,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202212,"27,00","3.841,00","7,03"

