ExecutionTime
4/1/2023 11:16:18 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20170630,"138.335,00","140.124,00","98,72"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20171231,"105.018,00","106.597,00","98,52"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20180630,"112.350,00","114.809,00","97,86"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20181231,"110.782,00","113.125,00","97,93"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20190630,"114.319,00","117.839,00","97,01"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20191231,"127.618,00","129.716,00","98,38"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20200331,"53.629,00","54.655,00","98,12"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20200630,"41.130,00","41.713,00","98,60"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20200930,"55.547,00","56.319,00","98,63"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20201231,"60.585,00","61.310,00","98,82"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20210331,"60.139,00","61.107,00","98,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20210630,"64.557,00","65.707,00","98,25"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20210930,"66.619,00","68.021,00","97,94"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20211231,"69.301,00","70.562,00","98,21"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20220331,"64.732,00","66.262,00","97,69"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20220630,"83.053,00","84.821,00","97,92"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20220930,"73.456,00","74.822,00","98,17"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,17,17 - Caldas,00000,TOTAL,Total,100,Porcentaje,20221231,"72.706,00","73.635,00","98,74"

