ExecutionTime
4/1/2023 11:14:18 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20170630,"44.326,00","6.463,00","6,86"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20171231,"52.007,00","8.568,00","6,07"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20180630,"90.086,00","9.505,00","9,48"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20181231,"105.453,00","10.189,00","10,35"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20190630,"85.023,00","12.710,00","6,69"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20191231,"341.451,00","11.539,00","29,59"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20200331,"69.973,00","7.145,00","9,79"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20200630,"18.297,00","3.048,00","6,00"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20200930,"51.431,00","6.337,00","8,12"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20201231,"54.187,00","5.201,00","10,42"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20210331,"54.041,00","5.764,00","9,38"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20210630,"47.273,00","7.213,00","6,55"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20210930,"47.786,00","5.095,00","9,38"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20211231,"55.189,00","4.476,00","12,33"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20220331,"83.598,00","8.603,00","9,72"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20220630,"95.116,00","8.316,00","11,44"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20220930,"69.743,00","6.062,00","11,50"
Tiempo promedio de espera para la asignación de cita de  Ginecología,17,17 - Caldas,00000,TOTAL,Total,1,Días,20221231,"48.486,00","4.091,00","11,85"

