ExecutionTime
4/1/2023 11:27:07 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2016,"34,00","6.802,00","5,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2017,"54,00","13.738,00","3,93"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2018,"37,00","14.987,00","2,47"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2019,"41,00","13.281,00","3,09"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2020,"40,00","9.794,00","4,08"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIA,1000,Tasa,2021,"157,00","19.971,00","7,86"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2016,"41,00","730,00","56,16"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2017,"0,00","880,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2018,"0,00","1.065,00","0,00"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2019,"2,00","1.077,00","1,86"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2020,"1,00","856,00","1,17"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIN,1000,Tasa,2021,"2,00","1.171,00","1,71"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2016,"5,00","764,00","6,54"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2017,"1,00","1.561,00","0,64"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2018,"8,00","1.533,00","5,22"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2019,"7,00","1.794,00","3,90"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2020,"8,00","1.225,00","6,53"
Tasa de Incidencia de Neumonía Asociada a Ventilador Mecánico (NAV),17,17 - Caldas,00000,TOTAL,Total,UCIP,1000,Tasa,2021,"4,00","1.544,00","2,59"

