ExecutionTime
4/1/2023 11:53:23 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201406,"1,00","9.320,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201412,"3,00","9.017,00","0,03"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201506,"2,00","9.450,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201512,"1,00","5.411,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201606,"2,00","6.165,00","0,03"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201612,"2,00","3.863,00","0,05"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201706,"4,00","3.077,00","0,13"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201712,"0,00","5.203,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201806,"2,00","7.768,00","0,03"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201812,"0,00","5.548,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201906,"1,00","7.124,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201912,"1,00","6.335,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202006,"3,00","2.765,00","0,11"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202012,"0,00","641,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202106,"2,00","1.556,00","0,13"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202112,"0,00","3.552,00","0,00"

