ExecutionTime
4/2/2023 12:06:49 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201606,"2.588,00","26.379,00","9,81"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201612,"2.483,00","26.897,00","9,23"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201706,"3.777,00","28.278,00","13,36"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201712,"3.393,00","28.848,00","11,76"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201806,"8.332,00","33.639,00","24,77"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201812,"8.123,00","34.299,00","23,68"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201906,"13.980,00","38.453,00","36,36"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,201912,"13.931,00","39.080,00","35,65"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202006,"13.450,00","39.850,00","33,75"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,202012,"13.901,00","40.915,00","33,98"

