ExecutionTime
4/2/2023 12:15:37 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20170630,"29.516,00","30.764,00","95,94"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20171231,"33.624,00","38.459,00","87,43"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20180630,"35.698,00","36.823,00","96,94"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20181231,"49.970,00","51.340,00","97,33"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20190630,"44.468,00","45.381,00","97,99"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20191231,"48.133,00","49.532,00","97,18"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20200331,"27.418,00","28.733,00","95,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20200630,"16.440,00","17.955,00","91,56"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20200930,"19.917,00","20.307,00","98,08"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20201231,"29.876,00","30.608,00","97,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20210331,"23.803,00","24.688,00","96,42"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20210630,"25.098,00","25.801,00","97,28"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20210930,"24.446,00","25.169,00","97,13"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20211231,"24.819,00","25.568,00","97,07"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20220331,"20.715,00","21.404,00","96,78"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20220630,"19.717,00","19.968,00","98,74"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20220930,"25.268,00","25.689,00","98,36"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,18,18 - Caquetá,00000,TOTAL,Total,100,Porcentaje,20221231,"22.618,00","23.246,00","97,30"

