ExecutionTime
4/2/2023 12:19:02 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201706,"31,00","4.120,00","0,75"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201712,"16,00","5.925,00","0,27"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201806,"1,00","2.856,00","0,04"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201812,"17,00","19.806,00","0,09"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201906,"59,00","20.655,00","0,29"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),201912,"64,00","20.287,00","0,32"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202003,"12,00","11.339,00","0,11"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202006,"19,00","14.195,00","0,13"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202009,"27,00","4.586,00","0,59"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202012,"7,00","38.121,00","0,02"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202103,"16,00","4.984,00","0,32"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202106,"5,00","5.500,00","0,09"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202109,"11,00","9.352,00","0,12"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202112,"20,00","10.205,00","0,20"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202203,"27,00","9.645,00","0,28"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202206,"18,00","8.255,00","0,22"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202209,"18,00","12.420,00","0,14"
Proporción de eventos adversos relacionados con la administración de medicamentos en hospitalización,18,Caquetá,00000,TOTAL,Total,N/A,100,Por 100 (%),202212,"3,00","7.158,00","0,04"

