ExecutionTime
4/2/2023 10:08:13 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201606,"2.928,00","21.379,00","13,70"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201612,"2.951,00","22.063,00","13,38"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201706,"3.882,00","26.065,00","14,89"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201712,"3.682,00","26.780,00","13,75"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201806,"5.692,00","32.450,00","17,54"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201812,"5.205,00","33.610,00","15,49"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201906,"13.220,00","37.112,00","35,62"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,201912,"12.906,00","37.974,00","33,99"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,202006,"12.312,00","39.195,00","31,41"
Proporción de mujeres entre los 50 y 69 años con toma de mamografía en los últimos 2 años.,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,202012,"12.331,00","40.341,00","30,57"

