ExecutionTime
4/2/2023 10:14:13 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20170630,"28.340,00","28.967,00","97,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20171231,"30.475,00","31.102,00","97,98"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20180630,"40.069,00","40.665,00","98,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20181231,"43.534,00","44.298,00","98,28"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20190630,"44.364,00","44.891,00","98,83"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20191231,"47.715,00","48.249,00","98,89"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200331,"17.919,00","18.172,00","98,61"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200630,"19.705,00","20.016,00","98,45"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200930,"21.884,00","22.106,00","99,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20201231,"24.009,00","24.658,00","97,37"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210331,"28.173,00","28.536,00","98,73"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210630,"31.586,00","32.051,00","98,55"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210930,"31.201,00","31.554,00","98,88"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20211231,"28.610,00","28.957,00","98,80"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220331,"29.137,00","29.773,00","97,86"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220630,"31.225,00","31.759,00","98,32"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220930,"34.971,00","35.552,00","98,37"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20221231,"32.212,00","32.572,00","98,89"

