ExecutionTime
4/2/2023 10:12:20 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20170630,"41.838,00","44.436,00","94,15"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20171231,"43.357,00","44.295,00","97,88"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20180630,"39.925,00","42.074,00","94,89"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20181231,"45.792,00","47.162,00","97,10"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20190630,"44.353,00","46.863,00","94,64"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20191231,"48.857,00","50.420,00","96,90"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200331,"17.884,00","18.421,00","97,08"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200630,"19.677,00","20.321,00","96,83"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20200930,"22.499,00","23.270,00","96,69"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20201231,"23.956,00","25.117,00","95,38"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210331,"27.983,00","29.020,00","96,43"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210630,"31.601,00","32.476,00","97,31"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20210930,"31.786,00","32.522,00","97,74"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20211231,"29.238,00","30.169,00","96,91"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220331,"30.115,00","30.936,00","97,35"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220630,"33.123,00","34.444,00","96,16"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20220930,"35.017,00","36.265,00","96,56"
Proporción de Satisfacción Global de los usuarios en la IPS,85,85 - Casanare,00000,TOTAL,Total,100,Porcentaje,20221231,"33.124,00","34.280,00","96,63"

