ExecutionTime
4/2/2023 10:16:00 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201706,"15,00","4.145,00","3,62"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201712,"24,00","3.289,00","7,30"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201806,"19,00","12.972,00","1,46"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201812,"6,00","3.742,00","1,60"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201906,"0,00","7.037,00","0,00"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,201912,"1,00","5.577,00","0,18"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202003,"9,00","3.669,00","2,45"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202006,"13,00","2.246,00","5,79"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202009,"13,00","1.790,00","7,26"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202012,"8,00","1.324,00","6,04"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202103,"5,00","1.178,00","4,24"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202106,"4,00","1.128,00","3,55"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202109,"5,00","3.105,00","1,61"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202112,"6,00","2.736,00","2,19"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202203,"15,00","2.884,00","5,20"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202206,"13,00","5.494,00","2,37"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202209,"11,00","2.114,00","5,20"
Tasa de caída de pacientes en el servicio de urgencias,85,Casanare,00000,TOTAL,Total,N/A,1000,Tasa,202212,"6,00","1.561,00","3,84"

