ExecutionTime
4/2/2023 10:23:36 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201606,"3.065,00","6.964,00","44,01"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201612,"3.646,00","6.929,00","52,62"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201706,"4.721,00","6.814,00","69,28"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201712,"5.061,00","6.731,00","75,19"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201806,"6.188,00","7.973,00","77,61"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201812,"7.081,00","7.957,00","88,99"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201906,"6.797,00","7.196,00","94,46"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,201912,"5.169,00","6.778,00","76,26"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,202006,"4.706,00","6.740,00","69,82"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,202012,"5.628,00","7.678,00","73,30"

