ExecutionTime
4/2/2023 10:27:18 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20170630,"195.701,00","48.091,00","4,07"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20171231,"174.992,00","50.524,00","3,46"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20180630,"195.422,00","60.179,00","3,25"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20181231,"403.510,00","73.124,00","5,52"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20190630,"517.491,00","83.291,00","6,21"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20191231,"729.103,00","85.504,00","8,53"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20200331,"263.800,00","31.763,00","8,31"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20200630,"64.484,00","15.675,00","4,11"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20200930,"124.153,00","27.345,00","4,54"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20201231,"178.700,00","31.839,00","5,61"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20210331,"950.634,00","45.954,00","20,69"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20210630,"184.783,00","34.190,00","5,40"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20210930,"228.148,00","40.799,00","5,59"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20211231,"217.235,00","40.862,00","5,32"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20220331,"1.542.699,00","42.887,00","35,97"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20220630,"249.536,00","44.502,00","5,61"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20220930,"214.398,00","44.907,00","4,77"
Tiempo promedio de espera para la toma de Ecografía,19,19 - Cauca,00000,TOTAL,Total,1,Días,20221231,"181.387,00","31.817,00","5,70"

