ExecutionTime
4/2/2023 10:27:37 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20170630,"120.768,00","123.205,00","98,02"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20171231,"160.029,00","163.619,00","97,81"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20180630,"144.957,00","149.982,00","96,65"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20181231,"170.771,00","176.430,00","96,79"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20190630,"135.691,00","141.057,00","96,20"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20191231,"137.011,00","140.947,00","97,21"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20200331,"65.302,00","67.104,00","97,31"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20200630,"50.231,00","51.784,00","97,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20200930,"58.705,00","59.998,00","97,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20201231,"61.049,00","62.649,00","97,45"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20210331,"56.685,00","64.753,00","87,54"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20210630,"70.790,00","72.785,00","97,26"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20210930,"73.827,00","75.561,00","97,71"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20211231,"74.511,00","76.360,00","97,58"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20220331,"76.115,00","77.485,00","98,23"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20220630,"73.113,00","75.001,00","97,48"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20220930,"84.945,00","86.283,00","98,45"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,19,19 - Cauca,00000,TOTAL,Total,100,Porcentaje,20221231,"75.492,00","77.205,00","97,78"

