ExecutionTime
4/2/2023 10:29:48 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201706,"17,00","398.023,00","0,04"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201712,"12,00","497.799,00","0,02"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201806,"20,00","152.580,00","0,13"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201812,"13,00","627.787,00","0,02"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201906,"10,00","700.899,00","0,01"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,201912,"23,00","711.314,00","0,03"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202003,"5,00","492.876,00","0,01"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202006,"2,00","250.137,00","0,01"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202009,"7,00","310.057,00","0,02"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202012,"1,00","313.012,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202103,"5,00","288.125,00","0,02"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202106,"12,00","336.125,00","0,04"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202109,"4,00","467.797,00","0,01"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202112,"1,00","386.826,00","0,00"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202203,"10,00","217.103,00","0,05"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202206,"17,00","398.028,00","0,04"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202209,"11,00","574.219,00","0,02"
Tasa de caída de pacientes en el servicio de consulta externa,19,Cauca,00000,TOTAL,Total,N/A,1000,Tasa,202212,"4,00","568.349,00","0,01"

