ExecutionTime
4/2/2023 10:37:03 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201606,"11,00","712,00","1,54"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201612,"15,00","999,00","1,50"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201706,"15,00","842,00","1,78"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201712,"20,00","1.523,00","1,31"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201806,"43,00","1.722,00","2,50"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201812,"57,00","2.202,00","2,59"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201906,"47,00","1.869,00","2,51"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,201912,"68,00","2.816,00","2,41"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,202006,"22,00","946,00","2,33"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,202012,"3,00","502,00","0,60"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,202106,"14,00","974,00","1,44"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,202112,"73,00","1.394,00","5,24"
Proporción  de reingreso hospitalario por  Infección Respiratoria Aguda (IRA) en menores de 5 años,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,202206,"30,00","2.000,00","1,50"

