ExecutionTime
4/2/2023 10:42:20 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20170630,"481.622,00","205.259,00","2,35"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20171231,"358.887,00","169.594,00","2,12"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20180630,"690.042,00","283.659,00","2,43"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20181231,"393.406,00","173.292,00","2,27"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20190630,"604.355,00","248.417,00","2,43"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20191231,"514.997,00","198.938,00","2,59"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20200331,"341.665,00","119.558,00","2,86"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20200630,"935.979,00","43.645,00","21,45"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20200930,"170.220,00","78.999,00","2,15"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20201231,"213.786,00","96.487,00","2,22"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20210331,"351.217,00","141.873,00","2,48"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20210630,"386.024,00","141.947,00","2,72"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20210930,"287.274,00","116.573,00","2,46"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20211231,"283.041,00","116.143,00","2,44"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20220331,"480.539,00","183.060,00","2,63"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20220630,"341.349,00","141.120,00","2,42"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20220930,"335.906,00","122.065,00","2,75"
Tiempo promedio de espera para la asignación de cita de  Medicina General,20,20 - Cesar,00000,TOTAL,Total,1,Días,20221231,"464.769,00","121.553,00","3,82"

