ExecutionTime
4/2/2023 10:43:22 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20170630,"222.605,00","227.704,00","97,76"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20171231,"92.691,00","97.797,00","94,78"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20180630,"112.888,00","120.646,00","93,57"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20181231,"114.029,00","121.804,00","93,62"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20190630,"132.767,00","139.931,00","94,88"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20191231,"130.570,00","136.890,00","95,38"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20200331,"39.490,00","41.427,00","95,32"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20200630,"39.338,00","40.750,00","96,53"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20200930,"52.941,00","55.619,00","95,19"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20201231,"63.378,00","66.318,00","95,57"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20210331,"56.671,00","59.165,00","95,78"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20210630,"59.833,00","61.995,00","96,51"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20210930,"52.531,00","54.601,00","96,21"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20211231,"63.998,00","66.535,00","96,19"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20220331,"57.852,00","59.970,00","96,47"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20220630,"63.904,00","65.739,00","97,21"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20220930,"67.235,00","69.251,00","97,09"
Proporción de Satisfacción Global de los usuarios en la IPS,20,20 - Cesar,00000,TOTAL,Total,100,Porcentaje,20221231,"65.301,00","67.206,00","97,17"

