ExecutionTime
4/2/2023 10:58:28 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201406,"10,00","3.396,00","0,29"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201412,"9,00","2.548,00","0,35"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201506,"13,00","3.589,00","0,36"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201512,"5,00","2.764,00","0,18"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201606,"11,00","3.063,00","0,36"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201612,"9,00","2.548,00","0,35"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201706,"7,00","2.351,00","0,30"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201712,"4,00","2.320,00","0,17"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201806,"8,00","3.297,00","0,24"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201812,"9,00","3.736,00","0,24"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201906,"4,00","4.446,00","0,09"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201912,"6,00","4.168,00","0,14"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202006,"10,00","2.166,00","0,46"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202012,"9,00","1.459,00","0,62"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202106,"9,00","3.126,00","0,29"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202112,"2,00","4.127,00","0,05"

