ExecutionTime
4/2/2023 10:59:07 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201606,"1.080,00","1.822,00","59,28"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201612,"1.160,00","1.674,00","69,30"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201706,"1.486,00","2.027,00","73,31"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201712,"1.455,00","2.002,00","72,68"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201806,"2.058,00","2.215,00","92,91"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201812,"1.813,00","2.243,00","80,83"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201906,"1.357,00","2.366,00","57,35"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,201912,"1.140,00","2.198,00","51,87"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202006,"1.216,00","1.947,00","62,46"
Proporción de gestantes con asesoría pre-test para prueba de  Virus de la inmunodeficiencia Humana (VIH),27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,202012,"1.898,00","2.618,00","72,50"

