ExecutionTime
4/6/2023 9:20:17 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20170630,"9.878,00","10.696,00","92,35"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20171231,"11.304,00","11.827,00","95,58"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20180630,"15.748,00","16.032,00","98,23"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20181231,"15.211,00","15.805,00","96,24"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20190630,"13.866,00","14.272,00","97,16"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20191231,"30.918,00","32.365,00","95,53"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200331,"13.691,00","13.822,00","99,05"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200630,"11.764,00","11.874,00","99,07"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200930,"12.419,00","12.659,00","98,10"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20201231,"17.748,00","18.063,00","98,26"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210331,"17.224,00","17.663,00","97,51"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210630,"17.458,00","17.821,00","97,96"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210930,"20.877,00","21.342,00","97,82"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20211231,"24.403,00","24.851,00","98,20"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220331,"20.409,00","20.951,00","97,41"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220630,"23.557,00","24.167,00","97,48"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220930,"20.979,00","22.001,00","95,35"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20221231,"23.342,00","24.032,00","97,13"

