ExecutionTime
4/5/2023 10:09:49 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20170630,"10.209,00","11.644,00","87,68"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20171231,"10.834,00","12.072,00","89,74"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20180630,"17.722,00","18.925,00","93,64"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20181231,"14.454,00","15.892,00","90,95"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20190630,"27.356,00","28.783,00","95,04"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20191231,"21.126,00","22.345,00","94,54"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200331,"13.742,00","13.949,00","98,52"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200630,"13.054,00","13.521,00","96,55"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20200930,"12.190,00","12.770,00","95,46"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20201231,"18.316,00","18.970,00","96,55"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210331,"19.270,00","20.420,00","94,37"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210630,"20.016,00","21.150,00","94,64"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20210930,"22.588,00","23.829,00","94,79"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20211231,"26.965,00","28.185,00","95,67"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220331,"24.318,00","25.519,00","95,29"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220630,"26.495,00","27.840,00","95,17"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20220930,"23.700,00","25.727,00","92,12"
Proporción de Satisfacción Global de los usuarios en la IPS,27,27 - Chocó,00000,TOTAL,Total,100,Porcentaje,20221231,"28.405,00","30.355,00","93,58"

