ExecutionTime
4/6/2023 9:18:32 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20170630,"6.889,00","5.381,00","1,28"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20171231,"10.658,00","6.993,00","1,52"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20180630,"7.006,00","7.875,00","0,89"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20181231,"5.878,00","6.102,00","0,96"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20190630,"12.983,00","11.394,00","1,14"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20191231,"27.894,00","12.610,00","2,21"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20200331,"5.491,00","2.326,00","2,36"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20200630,"1.858,00","2.231,00","0,83"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20200930,"1.185,00","1.895,00","0,63"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20201231,"4.180,00","5.330,00","0,78"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20210331,"5.489,00","4.530,00","1,21"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20210630,"8.926,00","5.737,00","1,56"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20210930,"7.350,00","3.891,00","1,89"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20211231,"10.963,00","7.092,00","1,55"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20220331,"10.657,00","5.685,00","1,87"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20220630,"14.129,00","5.231,00","2,70"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20220930,"11.872,00","8.181,00","1,45"
Tiempo promedio de espera para la asignación de cita de  Odontología General,27,27 - Chocó,00000,TOTAL,Total,1,Días,20221231,"15.697,00","18.107,00","0,87"

