ExecutionTime
4/3/2023 1:33:31 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201406,"15,00","25.195,00","0,06"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201412,"9,00","20.103,00","0,04"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201506,"6,00","25.040,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201512,"2,00","17.156,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201606,"10,00","24.782,00","0,04"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201612,"2,00","17.352,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201706,"6,00","29.897,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201712,"6,00","24.942,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201806,"4,00","40.893,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201812,"2,00","29.182,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201906,"6,00","41.183,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,201912,"1,00","36.229,00","0,00"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,202006,"1,00","17.343,00","0,01"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,202012,"3,00","5.506,00","0,05"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,202106,"2,00","9.076,00","0,02"
Letalidad por Infección Respiratoria Aguda (IRA) en menores de 5 años,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,202112,"3,00","18.151,00","0,02"

