ExecutionTime
4/6/2023 9:27:48 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20170630,"587.297,00","67.887,00","8,65"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20171231,"993.007,00","86.659,00","11,46"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20180630,"1.350.292,00","111.937,00","12,06"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20181231,"1.001.122,00","99.142,00","10,10"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20190630,"981.406,00","98.905,00","9,92"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20191231,"1.012.265,00","151.666,00","6,67"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20200331,"423.069,00","54.125,00","7,82"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20200630,"141.728,00","23.380,00","6,06"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20200930,"283.508,00","44.354,00","6,39"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20201231,"438.921,00","57.513,00","7,63"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20210331,"614.686,00","71.246,00","8,63"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20210630,"747.470,00","78.130,00","9,57"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20210930,"959.228,00","85.462,00","11,22"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20211231,"971.400,00","87.109,00","11,15"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20220331,"940.124,00","77.250,00","12,17"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20220630,"1.060.337,00","90.357,00","11,73"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20220930,"1.122.797,00","92.704,00","12,11"
Tiempo promedio de espera para la toma de Ecografía,25,25 - Cundinamarca,00000,TOTAL,Total,1,Días,20221231,"1.059.077,00","90.603,00","11,69"

