ExecutionTime
4/6/2023 9:26:39 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20170630,"105.252,00","111.598,00","94,31"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20171231,"122.797,00","131.438,00","93,43"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20180630,"147.530,00","157.350,00","93,76"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20181231,"167.798,00","177.333,00","94,62"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20190630,"191.299,00","201.820,00","94,79"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20191231,"243.609,00","256.593,00","94,94"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20200331,"97.052,00","102.928,00","94,29"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20200630,"70.816,00","73.720,00","96,06"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20200930,"95.226,00","98.145,00","97,03"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20201231,"113.220,00","117.351,00","96,48"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20210331,"128.893,00","133.590,00","96,48"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20210630,"124.334,00","128.420,00","96,82"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20210930,"227.041,00","232.002,00","97,86"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20211231,"126.947,00","132.853,00","95,55"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20220331,"145.595,00","152.125,00","95,71"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20220630,"148.528,00","154.669,00","96,03"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20220930,"160.326,00","166.593,00","96,24"
Proporción de Satisfacción Global de los usuarios en la IPS,25,25 - Cundinamarca,00000,TOTAL,Total,100,Porcentaje,20221231,"160.862,00","166.393,00","96,68"

