ExecutionTime
4/7/2023 9:40:51 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201706,"36,00","693.393,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201712,"22,00","769.030,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201806,"32,00","745.728,00","0,04"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201812,"16,00","769.160,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201906,"18,00","895.164,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,201912,"22,00","953.550,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202003,"11,00","500.956,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202006,"7,00","244.071,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202009,"2,00","268.490,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202012,"4,00","296.062,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202103,"5,00","286.133,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202106,"7,00","364.547,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202109,"4,00","529.570,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202112,"10,00","509.927,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202203,"12,00","332.597,00","0,04"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202206,"9,00","519.946,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202209,"18,00","378.815,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,25,Cundinamarca,00000,TOTAL,Total,N/A,1000,Tasa,202212,"10,00","413.284,00","0,02"

