ExecutionTime
4/2/2023 11:05:46 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201606,"232.343,00","479.506,00","48,45"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201612,"224.317,00","472.138,00","47,51"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201706,"280.228,00","534.249,00","52,45"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201712,"270.119,00","542.009,00","49,84"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201806,"322.388,00","614.436,00","52,47"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201906,"381.218,00","646.306,00","58,98"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,201912,"369.303,00","651.735,00","56,66"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,202006,"345.447,00","659.551,00","52,38"
Proporción de mujeres entre 25 y 69 años con toma de citología en el último año. ,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,202012,"339.462,00","664.751,00","51,07"

