ExecutionTime
4/6/2023 9:22:17 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20170630,"138.916,00","146.434,00","94,87"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20171231,"174.873,00","183.730,00","95,18"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20180630,"184.024,00","190.442,00","96,63"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20181231,"207.255,00","218.059,00","95,05"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20190630,"187.859,00","195.825,00","95,93"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20191231,"182.891,00","188.703,00","96,92"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20200331,"85.193,00","88.612,00","96,14"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20200630,"76.035,00","78.924,00","96,34"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20200930,"76.667,00","79.250,00","96,74"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20201231,"79.856,00","82.159,00","97,20"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20210331,"77.286,00","80.252,00","96,30"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20210630,"81.550,00","84.664,00","96,32"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20210930,"88.547,00","91.153,00","97,14"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20211231,"97.709,00","102.376,00","95,44"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20220331,"94.068,00","97.013,00","96,96"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20220630,"101.654,00","105.366,00","96,48"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20220930,"100.997,00","104.241,00","96,89"
Proporción de Satisfacción Global de los usuarios en la IPS,23,23 - Córdoba,00000,TOTAL,Total,100,Porcentaje,20221231,"113.365,00","116.136,00","97,61"

