ExecutionTime
4/6/2023 9:23:12 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20170630,"76.598,00","10.033,00","7,63"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20171231,"65.086,00","9.529,00","6,83"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20180630,"27.088,00","4.260,00","6,36"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20181231,"29.718,00","4.040,00","7,36"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20190630,"70.805,00","7.728,00","9,16"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20191231,"43.309,00","7.171,00","6,04"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20200331,"28.037,00","3.485,00","8,05"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20200630,"11.263,00","6.066,00","1,86"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20200930,"20.340,00","4.245,00","4,79"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20201231,"22.840,00","4.283,00","5,33"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20210331,"31.876,00","5.640,00","5,65"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20210630,"22.648,00","4.690,00","4,83"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20210930,"30.603,00","5.132,00","5,96"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20211231,"22.359,00","4.908,00","4,56"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20220331,"28.360,00","5.297,00","5,35"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20220630,"46.456,00","4.962,00","9,36"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20220930,"72.009,00","6.426,00","11,21"
Tiempo promedio de espera para la asignación de cita de  Obstetricia,23,23 - Córdoba,00000,TOTAL,Total,1,Días,20221231,"52.188,00","5.480,00","9,52"

