ExecutionTime
4/7/2023 9:38:11 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201706,"4,00","674.231,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201712,"9,00","820.508,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201806,"9,00","621.868,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201812,"8,00","972.102,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201906,"17,00","607.066,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,201912,"8,00","704.698,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202003,"4,00","436.488,00","0,01"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202006,"15,00","174.841,00","0,09"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202009,"14,00","211.989,00","0,07"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202012,"13,00","329.886,00","0,04"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202103,"1,00","241.205,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202106,"9,00","259.479,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202109,"10,00","448.182,00","0,02"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202112,"12,00","200.076,00","0,06"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202203,"21,00","155.053,00","0,14"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202206,"14,00","505.072,00","0,03"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202209,"26,00","541.876,00","0,05"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,23,Córdoba,00000,TOTAL,Total,N/A,1000,Tasa,202212,"15,00","588.905,00","0,03"

