ExecutionTime
4/3/2023 10:45:33 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201606,"16,00","176,00","9,09"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201612,"27,00","124,00","21,77"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201706,"24,00","133,00","18,05"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201712,"18,00","136,00","13,24"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201806,"26,00","167,00","15,57"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201812,"60,00","244,00","24,59"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201906,"143,00","321,00","44,55"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201912,"46,00","283,00","16,25"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,202006,"67,00","232,00","28,88"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,202012,"61,00","227,00","26,87"

