ExecutionTime
4/3/2023 10:46:56 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201606,"34,00","176,00","19,32"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201612,"0,00","124,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201706,"0,00","133,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201712,"0,00","136,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201806,"0,00","167,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201812,"1,00","244,00","0,41"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201906,"2,00","321,00","0,62"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,201912,"0,00","283,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,202006,"0,00","232,00","0,00"
Proporción  de recién nacidos con tamizaje para Hipotiroidismo,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,202012,"0,00","227,00","0,00"

