ExecutionTime
4/6/2023 9:29:48 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20180630,"29.552,00","222,00","133,12"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20191231,"5.756,00","217,00","26,53"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20200331,"2.465,00","96,00","25,68"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20200630,"1.155,00","56,00","20,63"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20210930,"2.427,00","107,00","22,68"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20211231,"6.588,00","109,00","60,44"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20220331,"3.915,00","143,00","27,38"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20220930,"3.440,00","153,00","22,48"
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,94,94 - Guainía,00000,TOTAL,Total,1,Minutos,20221231,"3.829,00","118,00","32,45"

