ExecutionTime
4/6/2023 9:30:07 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20170630,"1.754,00","1.757,00","99,83"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20171231,"1.764,00","1.783,00","98,93"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20180630,"2.412,00","2.414,00","99,92"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20181231,"26,00","26,00","100,00"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20191231,"690,00","830,00","83,13"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20200331,"175,00","260,00","67,31"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20200630,"115,00","136,00","84,56"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20200930,"18,00","19,00","94,74"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20201231,"643,00","716,00","89,80"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20210331,"454,00","461,00","98,48"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20210630,"8,00","8,00","100,00"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20210930,"580,00","592,00","97,97"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20211231,"540,00","540,00","100,00"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20220331,"801,00","808,00","99,13"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20220630,"51,00","51,00","100,00"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20220930,"871,00","1.262,00","69,02"
Proporción de Satisfacción Global de los usuarios en la IPS,94,94 - Guainía,00000,TOTAL,Total,100,Porcentaje,20221231,"1.311,00","1.549,00","84,64"

