ExecutionTime
4/7/2023 9:47:15 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20180630,"0,00","259,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20191231,"0,00","243,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20200331,"3,00","253,00","1,19"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20201231,"0,00","33,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20210331,"3,00","215,00","1,40"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20210930,"0,00","1.539,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20211231,"0,00","1.515,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20220331,"0,00","1.572,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20220930,"0,00","269,00","0,00"
Proporción de cancelación de cirugía,94,94 - Guainía,00000,TOTAL,Total,N/A,100,Porcentaje,20221231,"0,00","190,00","0,00"

