ExecutionTime
4/3/2023 10:56:24 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201606,"109,00","447,00","24,38"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201612,"172,00","437,00","39,36"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201706,"245,00","88,00","278,41"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201712,"246,00","80,00","307,50"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201806,"239,00","511,00","46,77"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201812,"280,00","575,00","48,70"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201906,"275,00","537,00","51,21"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,201912,"281,00","525,00","53,52"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,202006,"285,00","491,00","58,04"
Proporción de gestantes con consulta de control prenatal de primera vez antes de las 12 semanas de gestación,95,95 - Guaviare,00000,TOTAL,Total,100,Porcentaje,202012,"274,00","484,00","56,61"

